shard_id	row_index	ck_id	county	ck_duchy	kingdom_867	kingdom_1066	kingdom_1178	empire_867	empire_1066	empire_1178	match_status	screen_status	top_qid	top_label	top_description	historical_title_id	historical_rank	historical_exists	accepted_parentage_count	scale_status	agent_task	notes
county-scale-010	469	c_krems	Krems	Austria	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q131266	Krems	city in Austria				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	470	c_kujawy	Kujawy	Kuyavia	Poland	Poland	Poland	West-Slavia	West-Slavia	West-Slavia	exact_label	defer	Q920095	Kujawy	village in Masovian Voivodeship, Poland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	471	c_kursk	Kursk	Chernigov	Ruthenia	Ruthenia	Ruthenia	Russia	Russia	Russia	exact_label	defer	Q217463	Kursk	1994 Oscar-II-class submarine				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	472	c_kiev	Kyiv	Kyiv	Ruthenia	Ruthenia	Ruthenia	Russia	Russia	Russia	exact_label	defer	Q1899	Kyiv	capital and largest city of Ukraine				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	473	c_kyzistra	Kyzistra	Charsianon	Anatolia	Anatolia	Rum	Byzantine Empire	Byzantine Empire	Byzantine Empire	fuzzy_label	defer	Q95641454	Kyzistra (Pauly-Wissowa)	encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE)				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	474	c_la_marche	La Marche	Bourbon	Aquitaine	France	France	Francia	Francia	Francia	exact_label	defer	Q816026	La Marche	commune in Nièvre, France				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	475	c_labourd	Labourd	Gascogne	Aquitaine	France	France	Francia	Francia	Francia	exact_label	defer	Q671023	Labourd	historical province in the Basque Country, France				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	476	c_laconia	Laconia	Achaia	Hellas	Hellas	Hellas	Byzantine Empire	Byzantine Empire	Byzantine Empire	exact_label	defer	Q993431	Laconia	city in New Hampshire, United States				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	477	c_lanarkshire	Lanarkshire	Lothian	Scotland	Scotland	Scotland	Britannia	Britannia	Britannia	exact_label	defer	Q530296	Lanarkshire	historic county of Scotland, UK				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	478	c_lancashire	Lancashire	Lancaster	England	England	England	Britannia	Britannia	Britannia	exact_label	defer	Q67311452	Lancashire	historic county of England				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	479	c_lanciano	Lanciano	Spoleto	Romagna	Romagna	Romagna	Italia	Italia	Italia	exact_label	defer	Q8645	Lanciano	Italian comune				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	480	c_langres	Langres	Burgundy	France	France	France	Francia	Francia	Francia	exact_label	defer	Q203293	Langres	commune in Haute-Marne, France				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	481	c_lapusna	Lăpușna	Bugeac	Moldavia	Moldavia	Moldavia	Carpathia	Carpathia	Carpathia	fuzzy_label	defer	Q20678568	Lapušna	village in Belarus				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	482	c_lecce	Lecce	Apulia	Sicily	Sicily	Sicily	Byzantine Empire	Byzantine Empire	Italia	exact_label	defer	Q13386	Lecce	Italian comune				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	483	c_leczycka	Łęczyca	Kuyavia	Poland	Poland	Poland	West-Slavia	West-Slavia	West-Slavia	exact_label	defer	Q325727	Łęczyca	city and urban gmina of Poland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	484	c_legnica	Legnica	Silesia	Poland	Poland	Poland	West-Slavia	West-Slavia	West-Slavia	exact_label	defer	Q106274	Legnica	city with powiat rights of Poland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	485	c_ljubljana	Leibach	Krain	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q37183750	Leibach	family name				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	486	c_liebnitz	Leibnitz	Steyermark	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	fuzzy_label	defer	Q9047	Gottfried Wilhelm Leibniz	German mathematician and philosopher (1646–1716)				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	487	c_leicestershire	Leicestershire	Mercia	England	England	England	Britannia	Britannia	Britannia	exact_label	defer	Q67533246	Leicestershire	historic county of England				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	488	c_leinster	Leinster	Leinster	Ireland	Ireland	Ireland	Britannia	Britannia	Britannia	exact_label	defer	Q159736	Leinster	province in Ireland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	489	c_lennox	Lennox	Strathclyde	Scotland	Scotland	Scotland	Britannia	Britannia	Britannia	exact_label	defer	Q37496487	Lennox	family name				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	490	c_leon	Leon	León	Asturias	León	León	Hispania	Hispania	Hispania	exact_label	defer	Q37080	Leon	male given name				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	491	c_french_leon	Léon	Brittany	Brittany	Brittany	Brittany	Francia	Francia	Francia	exact_label	defer	Q17781870	Léon	male given name				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	492	c_lesbos	Lesbos	Aegean Islands	Thessalonika	Thessalonika	Thessalonika	Byzantine Empire	Byzantine Empire	Byzantine Empire	exact_label	defer	Q128087	Lesbos	Greek island located in the northeastern Aegean Sea				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	493	c_leuchtenburg	Leuchtenburg	Nordgau	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	fuzzy_label	defer	Q666373	Seini	town in Maramureș County, Romania				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	494	c_liege	Liege	Luxembourg	Lotharingia	Lotharingia	Lotharingia	Germania	Holy Roman Empire	Holy Roman Empire	fuzzy_label	defer	Q3992	Liège	city in Wallonia, Belgium				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	495	c_lienz	Lienz	Tyrol	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q336250	Lienz	town in Lienz District, Tyrol, Austria				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	496	c_lika	Lika	Croatia	Croatia	Croatia	Croatia	Byzantine Empire	Byzantine Empire	Byzantine Empire	exact_label	defer	Q142894	Lika	geographic and historical region of Croatia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	497	c_lille	Lille	Flanders	France	France	France	Francia	Francia	Francia	exact_label	defer	Q648	Lille	city and commune in Nord, Hauts-de-France, Northern France				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	498	c_limousin	Limousin	Aquitaine	Aquitaine	France	France	Francia	Francia	Francia	exact_label	defer	Q63760480	Limousin	family name				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	499	c_lincolnshire	Lincolnshire	York	England	England	England	Britannia	Britannia	Britannia	exact_label	defer	Q67533486	Lincolnshire	historic county of England				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-010	500	c_linlithgowshire	Linlithgowshire	Lothian	Scotland	Scotland	Scotland	Britannia	Britannia	Britannia	fuzzy_label	defer	Q67317108	West Lothian	historic county of Scotland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
